no,scheme_name,scope,category,eligibility_summary,benefit_summary,documents_summary,official_myscheme_url,source,last_verified
01,Prime Minister's Scholarship Scheme,Central,Education,Students/dependents covered by the scheme rules; approved course and academic conditions apply,Scholarship for approved professional/technical courses; amount and continuation depend on current guidelines,Aadhaar/identity; academic records; admission/course proof; bank details; category/service-family documents where applicable,https://www.myscheme.gov.in/schemes/pmss,Official myScheme page,2026-09-11
02,Craftsman Training Scheme - Maharashtra,Maharashtra,Skill Development,"Eligible ITI trainees under specified category, income, attendance, and family conditions",Training-related assistance; verify current amount and conditions,Photo; Aadhaar; domicile; income certificate; ITI admission proof; bank passbook; marksheets; caste certificate where applicable,https://www.myscheme.gov.in/schemes/cts-maharashtra,Official myScheme page,2026-09-11
03,Educational Assistance to the 10th to 12th Students,Maharashtra,Education,Children of registered Maharashtra Building and Other Construction Workers Welfare Board workers; required marks condition,"₹10,000 educational assistance under the listed conditions",Aadhaar; worker-board identity card; bank passbook; marksheet; residence proof,https://www.myscheme.gov.in/schemes/eatt10t12s,Official myScheme page,2026-09-11
04,National Means-Cum-Merit Scholarship Scheme,Central,Education,Meritorious students entering Class 9 in eligible schools; parental income limit and selection conditions apply,"₹12,000 per year under current scheme conditions",Class 7 marksheet; income certificate; domicile; caste/disability proof where applicable,https://www.myscheme.gov.in/schemes/nmmss,Official myScheme page,2026-09-11
05,Ayushman Bharat - PM-JAY,Central,Health and Wellness,Poor and vulnerable households identified under applicable deprivation and occupational criteria,"Health cover up to ₹5,00,000 per family per year for covered hospitalization",Identity and address proof; family details; Aadhaar where required; eligibility record,https://www.myscheme.gov.in/schemes/ab-pmjay,Official myScheme page,2026-09-11
06,Pradhan Mantri Matru Vandana Yojana,Central,Maternity and Nutrition,Eligible pregnant/lactating women satisfying one of the listed category conditions and registration requirements,Maternity benefit under current instalment rules,Aadhaar; Aadhaar-linked bank/post-office account; eligibility proof; MCP/RCHI card; pregnancy and child records,https://www.myscheme.gov.in/schemes/pmmvy,Official myScheme page,2026-09-11
07,Pradhan Mantri Garib Kalyan Anna Yojana,Central,Food Security,Antyodaya Anna Yojana and Priority Household ration-card beneficiaries,Food-grain support under applicable NFSA provisions,Ration card; Aadhaar linkage where required,https://www.myscheme.gov.in/schemes/pm-gkay,Official myScheme page,2026-09-11
08,Pradhan Mantri Jeevan Jyoti Bima Yojana,Central,Insurance,Eligible individual bank/post-office account holders aged 18–50,Life insurance under current scheme terms,Bank/post-office account; consent/enrolment form; identity details,https://www.myscheme.gov.in/schemes/pmjjby,Official myScheme page,2026-09-11
09,Homes For Intellectually Impaired Persons,Maharashtra,Disability and Social Welfare,Eligible orphan persons with intellectual disability requiring care and protection; Maharashtra residence and disability conditions apply,Residential care/support under scheme rules,Aadhaar; photographs; age proof; domicile/residence; disability certificate; bank details,https://www.myscheme.gov.in/schemes/hiip,Official myScheme page,2026-09-11
10,Atal Pension Yojana,Central,Pension and Social Security,"Eligible Indian citizens meeting age, account, contribution, and other current conditions",Pension according to selected contribution and scheme terms,Aadhaar/identity; bank or post-office account; nomination details; consent form,https://www.myscheme.gov.in/schemes/apy,Official myScheme page,2026-09-11
11,Pradhan Mantri Fasal Bima Yojana,Central,Agriculture and Crop Insurance,"Farmers growing notified crops in notified areas, subject to season and enrolment rules","Insurance protection against crop loss from notified natural events, pests, and diseases",Aadhaar/identity; land records or tenancy/sharecropper proof; sowing declaration; bank account; crop details,https://www.myscheme.gov.in/schemes/pmfby,Official myScheme page,2026-09-11
12,Pradhan Mantri Kisan Samman Nidhi,Central,Agriculture and Income Support,"Landholding farmer families with cultivable land, subject to exclusions","₹6,000 per year per eligible family in three ₹2,000 instalments",Aadhaar; landholding papers; savings bank account; land and bank details,https://www.myscheme.gov.in/schemes/pm-kisan,Official myScheme page,2026-09-11
13,Pradhan Mantri Awas Yojana - Urban,Central,Housing,Eligible urban households under applicable EWS/LIG/MIG and component conditions,Housing support or interest subsidy under the applicable PMAY-Urban component,Aadhaar/Aadhaar VID; income self-certificate/affidavit; identity and address proof; bank and property/loan documents as applicable,https://www.myscheme.gov.in/schemes/pmay-u,Official myScheme page,2026-09-11
14,Pradhan Mantri Ujjwala Yojana 2.0,Central,Energy and Household Welfare,Eligible adult women from deprived/poor households under current criteria,LPG connection support under current PMUY conditions,Aadhaar; address proof; ration/family composition document; bank details; eligibility declaration,https://www.myscheme.gov.in/schemes/pmuy2,Official myScheme page,2026-09-11
15,Pradhan Mantri Kaushal Vikas Yojana - Short Term Training,Central,Skill Development,Eligible candidates for approved short-term training programmes,Skill training and assessment/certification support under programme rules,Aadhaar/identity; age proof; address; education documents; bank details where applicable,https://www.myscheme.gov.in/schemes/pmkvy-stt,Official myScheme page,2026-09-11
16,PM Vishwakarma,Central,Artisans and Craftspeople,"Traditional artisans/craftspeople in notified trades satisfying age, trade, and family conditions","Training, toolkit incentive, credit support, digital transaction incentive, and marketing support under scheme rules",Aadhaar; mobile number; bank account; trade/occupation details; caste/category or local verification where required,https://www.myscheme.gov.in/schemes/pmv,Official myScheme page,2026-09-11
17,PM-DAKSH,Central,Skill Development and Social Empowerment,"Indian citizens aged 18–45 from eligible SC, OBC, EWS, DNT, Safai Mitra, or waste-picker groups",Free skill training and related support under programme rules,Aadhaar; photograph; caste/community certificate; income certificate where applicable; age/residence; education; bank passbook,https://www.myscheme.gov.in/schemes/pm-daksh,Official myScheme page,2026-09-11
18,Pradhan Mantri Mudra Yojana,Central,Microenterprise Credit,"Micro and small non-corporate, non-farm enterprises seeking eligible business credit","Business loans under Shishu, Kishor, Tarun, and applicable current categories",Aadhaar/PAN; address; bank details; business proof; project report; quotations and financial records as requested by lender,https://www.myscheme.gov.in/schemes/pmmy,Official myScheme page,2026-09-11
19,National Family Benefit Scheme,Central,Social Security,BPL family where the primary breadwinner aged over 18 and below 60 has died,"One-time assistance of ₹20,000 to the eligible surviving household member",Death certificate; identity; address; income/BPL proof; family/member ID; Aadhaar-seeded bank/post-office account; photograph,https://www.myscheme.gov.in/schemes/nfbs,Official myScheme page,2026-09-11
20,Prime Minister’s Internship Scheme,Central,Employment and Internship,"Eligible youth meeting current age, education, employment, and other programme conditions",Internship opportunity in participating companies; current stipend and insurance conditions apply,Aadhaar-linked mobile; identity; education records; bank details; e-KYC/profile information,https://www.myscheme.gov.in/schemes/pmis,Official myScheme page,2026-09-11
21,Pradhan Mantri Suraksha Bima Yojana,Central,Insurance,Indian citizens aged 18 to 70 with an active savings bank or post-office account and auto-debit consent,"₹2,00,000 for accidental death or permanent total disability and ₹1,00,000 for permanent partial disability at ₹20 annual premium",Aadhaar card; bank account passbook; auto-debit consent form; nomination details; claim form and disability/death certificate when applicable,https://www.myscheme.gov.in/schemes/pmsby,Official myScheme page,2026-09-12
22,Pradhan Mantri Awaas Yojana - Gramin,Central,Housing,Rural households living in kutcha/dilapidated houses or houseless families verified under SECC/Awaas+ database,"Financial assistance of ₹1,20,000 in plains and ₹1,30,000 in hilly/difficult areas for pucca house construction with toilet assistance",Aadhaar card; bank passbook; MGNREGA job card number; land ownership or land allotment proof; income/SECC beneficiary record; photographs,https://www.myscheme.gov.in/schemes/pmay-g,Official myScheme page,2026-09-12
23,Pradhan Mantri Jan Dhan Yojana,Central,Banking and Financial Inclusion,Any Indian citizen aged 10 and above who does not possess a basic savings bank deposit account,"Zero-balance basic savings bank deposit account, free RuPay debit card, ₹2,00,000 accidental insurance, and overdraft facility up to ₹10,000",Aadhaar card; identity and address proof; passport size photographs; existing bank declaration,https://www.myscheme.gov.in/schemes/pmjdy,Official myScheme page,2026-09-12
